Registration_number,Current_Semester
ciit/fa14-bcs-106/isb,Semester 8
ciit/fa14-bcs-1092/isb,Semester 8
ciit/fa14-bcs-1139/isb,Semester 8
ciit/fa14-bcs-1189/isb,Semester 8
ciit/fa14-bcs-1190/isb,Semester 9
ciit/fa14-bcs-1241/isb,Semester 8
ciit/fa14-bcs-1255/isb,Semester 8
ciit/fa14-bcs-1272/isb,Semester 10
ciit/fa14-bcs-1354/isb,Semester 8
ciit/fa14-bcs-1429/isb,Semester 10
ciit/fa14-bcs-1443/isb,Semester 9
ciit/fa14-bcs-1509/isb,Semester 8
ciit/fa14-bcs-1600/isb,Semester 8
ciit/fa14-bcs-163/isb,Semester 8
ciit/fa14-bcs-1652/isb,Semester 8
ciit/fa14-bcs-1780/isb,Semester 1
ciit/fa14-bcs-1796/isb,Semester 8
ciit/fa14-bcs-1813/isb,Semester 8
ciit/fa14-bcs-1821/isb,Semester 8
ciit/fa14-bcs-1860/isb,Semester 8
ciit/fa14-bcs-1953/isb,Semester 8
ciit/fa14-bcs-1975/isb,Semester 8
ciit/fa14-bcs-1983/isb,Semester 9
ciit/fa14-bcs-1994/isb,Semester 1
ciit/fa14-bcs-202/isb,Semester 1
ciit/fa14-bcs-2089/isb,Semester 8
ciit/fa14-bcs-2116/isb,Semester 2
ciit/fa14-bcs-2251/isb,Semester 1
ciit/fa14-bcs-2270/isb,Semester 11
ciit/fa14-bcs-2275/isb,Semester 8
ciit/fa14-bcs-2288/isb,Semester 2
ciit/fa14-bcs-2297/isb,Semester 8
ciit/fa14-bcs-2298/isb,Semester 11
ciit/fa14-bcs-2317/isb,Semester 8
ciit/fa14-bcs-2327/isb,Semester 1
ciit/fa14-bcs-2381/isb,Semester 8
ciit/fa14-bcs-2434/isb,Semester 10
ciit/fa14-bcs-2469/isb,Semester 8
ciit/fa14-bcs-2518/isb,Semester 8
ciit/fa14-bcs-2524/isb,Semester 11
ciit/fa14-bcs-2605/isb,Semester 8
ciit/fa14-bcs-2636/isb,Semester 9
ciit/fa14-bcs-2655/isb,Semester 8
ciit/fa14-bcs-2656/isb,Semester 8
ciit/fa14-bcs-2659/isb,Semester 8
ciit/fa14-bcs-2701/isb,Semester 8
ciit/fa14-bcs-2709/isb,Semester 9
ciit/fa14-bcs-2765/isb,Semester 8
ciit/fa14-bcs-2788/isb,Semester 2
ciit/fa14-bcs-279/isb,Semester 8
ciit/fa14-bcs-2791/isb,Semester 4
ciit/fa14-bcs-280/isb,Semester 10
ciit/fa14-bcs-2803/isb,Semester 8
ciit/fa14-bcs-2824/isb,Semester 8
ciit/fa14-bcs-2848/isb,Semester 8
ciit/fa14-bcs-2853/isb,Semester 8
ciit/fa14-bcs-2859/isb,Semester 1
ciit/fa14-bcs-2993/isb,Semester 8
ciit/fa14-bcs-3039/isb,Semester 4
ciit/fa14-bcs-3052/isb,Semester 8
ciit/fa14-bcs-3058/isb,Semester 8
ciit/fa14-bcs-3121/isb,Semester 1
ciit/fa14-bcs-3129/isb,Semester 11
ciit/fa14-bcs-3223/isb,Semester 9
ciit/fa14-bcs-3227/isb,Semester 11
ciit/fa14-bcs-3247/isb,Semester 8
ciit/fa14-bcs-3282/isb,Semester 2
ciit/fa14-bcs-3310/isb,Semester 1
ciit/fa14-bcs-3423/isb,Semester 9
ciit/fa14-bcs-3431/isb,Semester 9
ciit/fa14-bcs-3466/isb,Semester 8
ciit/fa14-bcs-3526/isb,Semester 10
ciit/fa14-bcs-3569/isb,Semester 1
ciit/fa14-bcs-3584/isb,Semester 8
ciit/fa14-bcs-3619/isb,Semester 9
ciit/fa14-bcs-3621/isb,Semester 8
ciit/fa14-bcs-3633/isb,Semester 8
ciit/fa14-bcs-3700/isb,Semester 5
ciit/fa14-bcs-386/isb,Semester 9
ciit/fa14-bcs-39/isb,Semester 3
ciit/fa14-bcs-413/isb,Semester 8
ciit/fa14-bcs-524/isb,Semester 11
ciit/fa14-bcs-544/isb,Semester 4
ciit/fa14-bcs-6/isb,Semester 8
ciit/fa14-bcs-622/isb,Semester 10
ciit/fa14-bcs-732/isb,Semester 8
ciit/fa14-bcs-79/isb,Semester 11
ciit/fa14-bcs-790/isb,Semester 8
ciit/fa14-bcs-794/isb,Semester 11
ciit/fa14-bcs-82/isb,Semester 8
ciit/fa14-bcs-86/isb,Semester 11
ciit/fa14-bcs-888/isb,Semester 4
ciit/fa14-bcs-901/isb,Semester 9
ciit/fa14-bcs-919/isb,Semester 8
ciit/fa14-bcs-934/isb,Semester 3
ciit/fa14-bcs-953/isb,Semester 1
ciit/fa14-bcs-972/isb,Semester 9
ciit/fa14-bcs-978/isb,Semester 9
ciit/fa14-bcs-980/isb,Semester 8
ciit/fa14-bse-1051/isb,Semester 8
ciit/fa14-bse-1109/isb,Semester 8
ciit/fa14-bse-1110/isb,Semester 1
ciit/fa14-bse-116/isb,Semester 8
ciit/fa14-bse-1173/isb,Semester 8
ciit/fa14-bse-1194/isb,Semester 8
ciit/fa14-bse-1202/isb,Semester 8
ciit/fa14-bse-1204/isb,Semester 8
ciit/fa14-bse-1267/isb,Semester 3
ciit/fa14-bse-1306/isb,Semester 8
ciit/fa14-bse-1307/isb,Semester 9
ciit/fa14-bse-1313/isb,Semester 9
ciit/fa14-bse-1345/isb,Semester 6
ciit/fa14-bse-1403/isb,Semester 11
ciit/fa14-bse-1456/isb,Semester 8
ciit/fa14-bse-1472/isb,Semester 1
ciit/fa14-bse-1513/isb,Semester 2
ciit/fa14-bse-1545/isb,Semester 9
ciit/fa14-bse-1564/isb,Semester 8
ciit/fa14-bse-1630/isb,Semester 8
ciit/fa14-bse-1650/isb,Semester 8
ciit/fa14-bse-1657/isb,Semester 8
ciit/fa14-bse-1659/isb,Semester 8
ciit/fa14-bse-1674/isb,Semester 8
ciit/fa14-bse-1720/isb,Semester 8
ciit/fa14-bse-1781/isb,Semester 8
ciit/fa14-bse-1822/isb,Semester 8
ciit/fa14-bse-1825/isb,Semester 8
ciit/fa14-bse-1847/isb,Semester 9
ciit/fa14-bse-1878/isb,Semester 8
ciit/fa14-bse-1886/isb,Semester 8
ciit/fa14-bse-1945/isb,Semester 1
ciit/fa14-bse-1952/isb,Semester 8
ciit/fa14-bse-2008/isb,Semester 8
ciit/fa14-bse-201/isb,Semester 1
ciit/fa14-bse-2041/isb,Semester 8
ciit/fa14-bse-2052/isb,Semester 8
ciit/fa14-bse-2082/isb,Semester 1
ciit/fa14-bse-2104/isb,Semester 9
ciit/fa14-bse-2117/isb,Semester 8
ciit/fa14-bse-2125/isb,Semester 9
ciit/fa14-bse-2133/isb,Semester 8
ciit/fa14-bse-2137/isb,Semester 2
ciit/fa14-bse-2180/isb,Semester 8
ciit/fa14-bse-219/isb,Semester 11
ciit/fa14-bse-2191/isb,Semester 8
ciit/fa14-bse-2206/isb,Semester 8
ciit/fa14-bse-2226/isb,Semester 8
ciit/fa14-bse-2231/isb,Semester 8
ciit/fa14-bse-2258/isb,Semester 8
ciit/fa14-bse-2289/isb,Semester 8
ciit/fa14-bse-23/isb,Semester 9
ciit/fa14-bse-2302/isb,Semester 8
ciit/fa14-bse-2306/isb,Semester 8
ciit/fa14-bse-2313/isb,Semester 8
ciit/fa14-bse-2315/isb,Semester 4
ciit/fa14-bse-2399/isb,Semester 9
ciit/fa14-bse-2418/isb,Semester 8
ciit/fa14-bse-2425/isb,Semester 8
ciit/fa14-bse-2461/isb,Semester 8
ciit/fa14-bse-2462/isb,Semester 2
ciit/fa14-bse-2479/isb,Semester 8
ciit/fa14-bse-2572/isb,Semester 8
ciit/fa14-bse-2584/isb,Semester 8
ciit/fa14-bse-2604/isb,Semester 8
ciit/fa14-bse-2615/isb,Semester 8
ciit/fa14-bse-2652/isb,Semester 9
ciit/fa14-bse-2671/isb,Semester 8
ciit/fa14-bse-2698/isb,Semester 8
ciit/fa14-bse-2773/isb,Semester 9
ciit/fa14-bse-2778/isb,Semester 10
ciit/fa14-bse-2779/isb,Semester 8
ciit/fa14-bse-2781/isb,Semester 10
ciit/fa14-bse-2783/isb,Semester 8
ciit/fa14-bse-2823/isb,Semester 8
ciit/fa14-bse-2839/isb,Semester 2
ciit/fa14-bse-2855/isb,Semester 8
ciit/fa14-bse-2909/isb,Semester 8
ciit/fa14-bse-2945/isb,Semester 8
ciit/fa14-bse-2958/isb,Semester 8
ciit/fa14-bse-2966/isb,Semester 8
ciit/fa14-bse-2975/isb,Semester 8
ciit/fa14-bse-2998/isb,Semester 11
ciit/fa14-bse-3030/isb,Semester 8
ciit/fa14-bse-3074/isb,Semester 8
ciit/fa14-bse-3194/isb,Semester 8
ciit/fa14-bse-32/isb,Semester 8
ciit/fa14-bse-3214/isb,Semester 10
ciit/fa14-bse-3222/isb,Semester 1
ciit/fa14-bse-3239/isb,Semester 9
ciit/fa14-bse-3263/isb,Semester 4
ciit/fa14-bse-3281/isb,Semester 9
ciit/fa14-bse-3323/isb,Semester 2
ciit/fa14-bse-3337/isb,Semester 8
ciit/fa14-bse-3377/isb,Semester 8
ciit/fa14-bse-3465/isb,Semester 7
ciit/fa14-bse-348/isb,Semester 9
ciit/fa14-bse-3518/isb,Semester 9
ciit/fa14-bse-3654/isb,Semester 8
ciit/fa14-bse-3684/isb,Semester 9
ciit/fa14-bse-3699/isb,Semester 8
ciit/fa14-bse-3708/isb,Semester 8
ciit/fa14-bse-3733/isb,Semester 8
ciit/fa14-bse-443/isb,Semester 2
ciit/fa14-bse-455/isb,Semester 9
ciit/fa14-bse-501/isb,Semester 1
ciit/fa14-bse-510/isb,Semester 1
ciit/fa14-bse-576/isb,Semester 8
ciit/fa14-bse-580/isb,Semester 8
ciit/fa14-bse-624/isb,Semester 8
ciit/fa14-bse-643/isb,Semester 8
ciit/fa14-bse-671/isb,Semester 1
ciit/fa14-bse-677/isb,Semester 8
ciit/fa14-bse-679/isb,Semester 8
ciit/fa14-bse-692/isb,Semester 8
ciit/fa14-bse-747/isb,Semester 8
ciit/fa14-bse-765/isb,Semester 8
ciit/fa14-bse-843/isb,Semester 8
ciit/fa14-bse-910/isb,Semester 8
ciit/fa14-bse-914/isb,Semester 8
ciit/fa14-bse-939/isb,Semester 8
ciit/fa14-bse-950/isb,Semester 8
ciit/fa14-bse-966/isb,Semester 1
ciit/fa14-bse-976/isb,Semester 9
ciit/fa14-bse-99/isb,Semester 1
ciit/fa15-bcs-1009/isb,Semester 8
ciit/fa15-bcs-1043/isb,Semester 9
ciit/fa15-bcs-1045/isb,Semester 9
ciit/fa15-bcs-1089/isb,Semester 8
ciit/fa15-bcs-1146/isb,Semester 8
ciit/fa15-bcs-1159/isb,Semester 8
ciit/fa15-bcs-1193/isb,Semester 2
ciit/fa15-bcs-1203/isb,Semester 6
ciit/fa15-bcs-1206/isb,Semester 8
ciit/fa15-bcs-1234/isb,Semester 8
ciit/fa15-bcs-1334/isb,Semester 1
ciit/fa15-bcs-1368/isb,Semester 9
ciit/fa15-bcs-1381/isb,Semester 2
ciit/fa15-bcs-1543/isb,Semester 8
ciit/fa15-bcs-1558/isb,Semester 1
ciit/fa15-bcs-1618/isb,Semester 8
ciit/fa15-bcs-1622/isb,Semester 9
ciit/fa15-bcs-1647/isb,Semester 8
ciit/fa15-bcs-1675/isb,Semester 3
ciit/fa15-bcs-1706/isb,Semester 8
ciit/fa15-bcs-1755/isb,Semester 8
ciit/fa15-bcs-1794/isb,Semester 8
ciit/fa15-bcs-1797/isb,Semester 8
ciit/fa15-bcs-1829/isb,Semester 10
ciit/fa15-bcs-1914/isb,Semester 8
ciit/fa15-bcs-1919/isb,Semester 8
ciit/fa15-bcs-205/isb,Semester 10
ciit/fa15-bcs-210/isb,Semester 8
ciit/fa15-bcs-2120/isb,Semester 8
ciit/fa15-bcs-2160/isb,Semester 8
ciit/fa15-bcs-2182/isb,Semester 1
ciit/fa15-bcs-2236/isb,Semester 9
ciit/fa15-bcs-2333/isb,Semester 8
ciit/fa15-bcs-241/isb,Semester 1
ciit/fa15-bcs-2423/isb,Semester 2
ciit/fa15-bcs-2431/isb,Semester 1
ciit/fa15-bcs-2464/isb,Semester 8
ciit/fa15-bcs-2468/isb,Semester 9
ciit/fa15-bcs-2475/isb,Semester 9
ciit/fa15-bcs-2485/isb,Semester 8
ciit/fa15-bcs-2488/isb,Semester 10
ciit/fa15-bcs-2553/isb,Semester 8
ciit/fa15-bcs-2557/isb,Semester 8
ciit/fa15-bcs-2571/isb,Semester 1
ciit/fa15-bcs-2582/isb,Semester 9
ciit/fa15-bcs-2617/isb,Semester 1
ciit/fa15-bcs-262/isb,Semester 1
ciit/fa15-bcs-263/isb,Semester 8
ciit/fa15-bcs-2843/isb,Semester 6
ciit/fa15-bcs-2845/isb,Semester 8
ciit/fa15-bcs-2847/isb,Semester 1
ciit/fa15-bcs-2849/isb,Semester 10
ciit/fa15-bcs-2877/isb,Semester 8
ciit/fa15-bcs-2881/isb,Semester 8
ciit/fa15-bcs-2907/isb,Semester 1
ciit/fa15-bcs-2912/isb,Semester 8
ciit/fa15-bcs-2927/isb,Semester 8
ciit/fa15-bcs-2994/isb,Semester 8
ciit/fa15-bcs-3006/isb,Semester 9
ciit/fa15-bcs-3034/isb,Semester 1
ciit/fa15-bcs-3036/isb,Semester 8
ciit/fa15-bcs-3038/isb,Semester 6
ciit/fa15-bcs-3071/isb,Semester 2
ciit/fa15-bcs-3076/isb,Semester 8
ciit/fa15-bcs-308/isb,Semester 8
ciit/fa15-bcs-3095/isb,Semester 8
ciit/fa15-bcs-3098/isb,Semester 12
ciit/fa15-bcs-3120/isb,Semester 2
ciit/fa15-bcs-3146/isb,Semester 9
ciit/fa15-bcs-3177/isb,Semester 8
ciit/fa15-bcs-3182/isb,Semester 8
ciit/fa15-bcs-3212/isb,Semester 8
ciit/fa15-bcs-3253/isb,Semester 8
ciit/fa15-bcs-3256/isb,Semester 8
ciit/fa15-bcs-3273/isb,Semester 8
ciit/fa15-bcs-3361/isb,Semester 9
ciit/fa15-bcs-3381/isb,Semester 8
ciit/fa15-bcs-3392/isb,Semester 9
ciit/fa15-bcs-3415/isb,Semester 5
ciit/fa15-bcs-3489/isb,Semester 2
ciit/fa15-bcs-3502/isb,Semester 8
ciit/fa15-bcs-3536/isb,Semester 9
ciit/fa15-bcs-3592/isb,Semester 9
ciit/fa15-bcs-3599/isb,Semester 1
ciit/fa15-bcs-3608/isb,Semester 9
ciit/fa15-bcs-3655/isb,Semester 6
ciit/fa15-bcs-3695/isb,Semester 12
ciit/fa15-bcs-3731/isb,Semester 6
ciit/fa15-bcs-385/isb,Semester 8
ciit/fa15-bcs-417/isb,Semester 3
ciit/fa15-bcs-428/isb,Semester 8
ciit/fa15-bcs-458/isb,Semester 8
ciit/fa15-bcs-463/isb,Semester 8
ciit/fa15-bcs-481/isb,Semester 8
ciit/fa15-bcs-485/isb,Semester 10
ciit/fa15-bcs-526/isb,Semester 8
ciit/fa15-bcs-54/isb,Semester 8
ciit/fa15-bcs-549/isb,Semester 12
ciit/fa15-bcs-598/isb,Semester 8
ciit/fa15-bcs-652/isb,Semester 8
ciit/fa15-bcs-725/isb,Semester 9
ciit/fa15-bcs-748/isb,Semester 8
ciit/fa15-bcs-783/isb,Semester 8
ciit/fa15-bcs-80/isb,Semester 8
ciit/fa15-bcs-859/isb,Semester 2
ciit/fa15-bcs-875/isb,Semester 8
ciit/fa15-bcs-937/isb,Semester 6
ciit/fa15-bcs-979/isb,Semester 8
ciit/fa15-bse-1030/isb,Semester 8
ciit/fa15-bse-1039/isb,Semester 8
ciit/fa15-bse-1153/isb,Semester 8
ciit/fa15-bse-1161/isb,Semester 8
ciit/fa15-bse-1172/isb,Semester 8
ciit/fa15-bse-1388/isb,Semester 8
ciit/fa15-bse-1439/isb,Semester 8
ciit/fa15-bse-1476/isb,Semester 8
ciit/fa15-bse-1492/isb,Semester 8
ciit/fa15-bse-150/isb,Semester 8
ciit/fa15-bse-1502/isb,Semester 8
ciit/fa15-bse-1507/isb,Semester 3
ciit/fa15-bse-1563/isb,Semester 8
ciit/fa15-bse-1611/isb,Semester 8
ciit/fa15-bse-1617/isb,Semester 8
ciit/fa15-bse-1641/isb,Semester 8
ciit/fa15-bse-1660/isb,Semester 8
ciit/fa15-bse-1775/isb,Semester 8
ciit/fa15-bse-1776/isb,Semester 8
ciit/fa15-bse-1843/isb,Semester 9
ciit/fa15-bse-185/isb,Semester 9
ciit/fa15-bse-1857/isb,Semester 8
ciit/fa15-bse-1867/isb,Semester 8
ciit/fa15-bse-1889/isb,Semester 1
ciit/fa15-bse-1927/isb,Semester 8
ciit/fa15-bse-1964/isb,Semester 2
ciit/fa15-bse-2006/isb,Semester 8
ciit/fa15-bse-2063/isb,Semester 1
ciit/fa15-bse-21/isb,Semester 8
ciit/fa15-bse-2242/isb,Semester 8
ciit/fa15-bse-225/isb,Semester 8
ciit/fa15-bse-2256/isb,Semester 8
ciit/fa15-bse-2305/isb,Semester 8
ciit/fa15-bse-2310/isb,Semester 8
ciit/fa15-bse-2388/isb,Semester 4
ciit/fa15-bse-2436/isb,Semester 8
ciit/fa15-bse-2456/isb,Semester 8
ciit/fa15-bse-2509/isb,Semester 1
ciit/fa15-bse-2513/isb,Semester 8
ciit/fa15-bse-2531/isb,Semester 1
ciit/fa15-bse-2579/isb,Semester 9
ciit/fa15-bse-2591/isb,Semester 9
ciit/fa15-bse-2639/isb,Semester 8
ciit/fa15-bse-2716/isb,Semester 8
ciit/fa15-bse-2749/isb,Semester 8
ciit/fa15-bse-2751/isb,Semester 9
ciit/fa15-bse-2787/isb,Semester 2
ciit/fa15-bse-281/isb,Semester 10
ciit/fa15-bse-2879/isb,Semester 2
ciit/fa15-bse-2897/isb,Semester 9
ciit/fa15-bse-2920/isb,Semester 8
ciit/fa15-bse-3026/isb,Semester 8
ciit/fa15-bse-3032/isb,Semester 8
ciit/fa15-bse-3037/isb,Semester 2
ciit/fa15-bse-3112/isb,Semester 8
ciit/fa15-bse-3114/isb,Semester 8
ciit/fa15-bse-3150/isb,Semester 1
ciit/fa15-bse-3188/isb,Semester 8
ciit/fa15-bse-3198/isb,Semester 8
ciit/fa15-bse-3234/isb,Semester 8
ciit/fa15-bse-3235/isb,Semester 8
ciit/fa15-bse-3244/isb,Semester 11
ciit/fa15-bse-3264/isb,Semester 8
ciit/fa15-bse-3299/isb,Semester 8
ciit/fa15-bse-335/isb,Semester 8
ciit/fa15-bse-3351/isb,Semester 8
ciit/fa15-bse-3353/isb,Semester 8
ciit/fa15-bse-3389/isb,Semester 11
ciit/fa15-bse-3414/isb,Semester 8
ciit/fa15-bse-3432/isb,Semester 8
ciit/fa15-bse-3449/isb,Semester 8
ciit/fa15-bse-3483/isb,Semester 8
ciit/fa15-bse-3487/isb,Semester 8
ciit/fa15-bse-3506/isb,Semester 8
ciit/fa15-bse-3551/isb,Semester 8
ciit/fa15-bse-3612/isb,Semester 1
ciit/fa15-bse-362/isb,Semester 1
ciit/fa15-bse-3626/isb,Semester 1
ciit/fa15-bse-3659/isb,Semester 8
ciit/fa15-bse-3698/isb,Semester 4
ciit/fa15-bse-37/isb,Semester 8
ciit/fa15-bse-3719/isb,Semester 8
ciit/fa15-bse-372/isb,Semester 3
ciit/fa15-bse-3727/isb,Semester 8
ciit/fa15-bse-378/isb,Semester 8
ciit/fa15-bse-389/isb,Semester 8
ciit/fa15-bse-396/isb,Semester 8
ciit/fa15-bse-4/isb,Semester 8
ciit/fa15-bse-474/isb,Semester 8
ciit/fa15-bse-547/isb,Semester 8
ciit/fa15-bse-583/isb,Semester 8
ciit/fa15-bse-585/isb,Semester 8
ciit/fa15-bse-60/isb,Semester 1
ciit/fa15-bse-67/isb,Semester 8
ciit/fa15-bse-670/isb,Semester 8
ciit/fa15-bse-72/isb,Semester 2
ciit/fa15-bse-75/isb,Semester 8
ciit/fa15-bse-785/isb,Semester 8
ciit/fa15-bse-795/isb,Semester 2
ciit/fa15-bse-973/isb,Semester 9
ciit/fa16-bcs-1016/isb,Semester 1
ciit/fa16-bcs-1084/isb,Semester 8
ciit/fa16-bcs-1116/isb,Semester 8
ciit/fa16-bcs-1163/isb,Semester 8
ciit/fa16-bcs-1178/isb,Semester 8
ciit/fa16-bcs-1191/isb,Semester 8
ciit/fa16-bcs-1212/isb,Semester 8
ciit/fa16-bcs-1251/isb,Semester 8
ciit/fa16-bcs-127/isb,Semester 8
ciit/fa16-bcs-1271/isb,Semester 11
ciit/fa16-bcs-1357/isb,Semester 8
ciit/fa16-bcs-1360/isb,Semester 9
ciit/fa16-bcs-1422/isb,Semester 8
ciit/fa16-bcs-1442/isb,Semester 8
ciit/fa16-bcs-1460/isb,Semester 3
ciit/fa16-bcs-1559/isb,Semester 8
ciit/fa16-bcs-157/isb,Semester 9
ciit/fa16-bcs-1594/isb,Semester 8
ciit/fa16-bcs-1685/isb,Semester 8
ciit/fa16-bcs-1697/isb,Semester 8
ciit/fa16-bcs-1708/isb,Semester 8
ciit/fa16-bcs-1783/isb,Semester 11
ciit/fa16-bcs-1793/isb,Semester 12
ciit/fa16-bcs-1815/isb,Semester 8
ciit/fa16-bcs-1830/isb,Semester 8
ciit/fa16-bcs-1831/isb,Semester 6
ciit/fa16-bcs-1841/isb,Semester 1
ciit/fa16-bcs-1852/isb,Semester 2
ciit/fa16-bcs-1890/isb,Semester 9
ciit/fa16-bcs-1891/isb,Semester 12
ciit/fa16-bcs-1898/isb,Semester 8
ciit/fa16-bcs-1917/isb,Semester 9
ciit/fa16-bcs-1918/isb,Semester 9
ciit/fa16-bcs-194/isb,Semester 8
ciit/fa16-bcs-1955/isb,Semester 8
ciit/fa16-bcs-1965/isb,Semester 8
ciit/fa16-bcs-1989/isb,Semester 8
ciit/fa16-bcs-2009/isb,Semester 8
ciit/fa16-bcs-2022/isb,Semester 8
ciit/fa16-bcs-2134/isb,Semester 2
ciit/fa16-bcs-2142/isb,Semester 8
ciit/fa16-bcs-2169/isb,Semester 8
ciit/fa16-bcs-2174/isb,Semester 9
ciit/fa16-bcs-2177/isb,Semester 1
ciit/fa16-bcs-2205/isb,Semester 8
ciit/fa16-bcs-2254/isb,Semester 11
ciit/fa16-bcs-2291/isb,Semester 8
ciit/fa16-bcs-2361/isb,Semester 8
ciit/fa16-bcs-238/isb,Semester 8
ciit/fa16-bcs-240/isb,Semester 1
ciit/fa16-bcs-2417/isb,Semester 9
ciit/fa16-bcs-2486/isb,Semester 1
ciit/fa16-bcs-2517/isb,Semester 8
ciit/fa16-bcs-2520/isb,Semester 8
ciit/fa16-bcs-2602/isb,Semester 8
ciit/fa16-bcs-2612/isb,Semester 8
ciit/fa16-bcs-2688/isb,Semester 8
ciit/fa16-bcs-27/isb,Semester 8
ciit/fa16-bcs-273/isb,Semester 8
ciit/fa16-bcs-2734/isb,Semester 8
ciit/fa16-bcs-2759/isb,Semester 8
ciit/fa16-bcs-2822/isb,Semester 2
ciit/fa16-bcs-283/isb,Semester 2
ciit/fa16-bcs-2867/isb,Semester 8
ciit/fa16-bcs-289/isb,Semester 8
ciit/fa16-bcs-2906/isb,Semester 8
ciit/fa16-bcs-2908/isb,Semester 8
ciit/fa16-bcs-2930/isb,Semester 8
ciit/fa16-bcs-2931/isb,Semester 8
ciit/fa16-bcs-2936/isb,Semester 8
ciit/fa16-bcs-294/isb,Semester 8
ciit/fa16-bcs-2968/isb,Semester 1
ciit/fa16-bcs-2984/isb,Semester 8
ciit/fa16-bcs-3040/isb,Semester 8
ciit/fa16-bcs-3097/isb,Semester 8
ciit/fa16-bcs-3107/isb,Semester 8
ciit/fa16-bcs-3122/isb,Semester 8
ciit/fa16-bcs-3131/isb,Semester 2
ciit/fa16-bcs-317/isb,Semester 8
ciit/fa16-bcs-3185/isb,Semester 8
ciit/fa16-bcs-320/isb,Semester 8
ciit/fa16-bcs-3201/isb,Semester 4
ciit/fa16-bcs-3205/isb,Semester 3
ciit/fa16-bcs-3232/isb,Semester 12
ciit/fa16-bcs-3339/isb,Semester 1
ciit/fa16-bcs-3374/isb,Semester 8
ciit/fa16-bcs-3390/isb,Semester 9
ciit/fa16-bcs-3413/isb,Semester 8
ciit/fa16-bcs-3435/isb,Semester 1
ciit/fa16-bcs-3439/isb,Semester 8
ciit/fa16-bcs-3503/isb,Semester 8
ciit/fa16-bcs-3533/isb,Semester 8
ciit/fa16-bcs-3598/isb,Semester 8
ciit/fa16-bcs-3604/isb,Semester 8
ciit/fa16-bcs-3637/isb,Semester 8
ciit/fa16-bcs-3641/isb,Semester 8
ciit/fa16-bcs-367/isb,Semester 8
ciit/fa16-bcs-3691/isb,Semester 8
ciit/fa16-bcs-3704/isb,Semester 8
ciit/fa16-bcs-3713/isb,Semester 8
ciit/fa16-bcs-3736/isb,Semester 8
ciit/fa16-bcs-3740/isb,Semester 8
ciit/fa16-bcs-421/isb,Semester 8
