Registration_number,Course_no,Quiz1,Quiz2,Quiz3,Quiz4,Assignment1,Assignment2,Assignment3,Assignment4,MidTerm,FinalTerm,LabMidTerm,LabFinalTerm,LabAssignment1,LabAssignment2,LabTask1,LabTask2,Course_cat,Course_GPA
ciit/fa14-bse-1051/isb,csc110,10,3,4,3,5,5,2,1,15,43,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.19
ciit/fa14-bse-1109/isb,csc110,5,6,4,3,6,2,9,5,23,27,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.69
ciit/fa14-bse-1110/isb,csc110,10,5,4,1,2,6,2,9,18,40,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.71
ciit/fa14-bse-116/isb,csc110,7,6,1,10,1,8,1,5,23,40,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.69
ciit/fa14-bse-1173/isb,csc110,1,2,10,6,10,6,10,8,21,38,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.54
ciit/fa14-bse-1194/isb,csc110,6,7,9,9,10,4,1,6,20,45,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.79
ciit/fa14-bse-1202/isb,csc110,7,3,2,10,6,6,3,5,20,35,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.71
ciit/fa14-bse-1204/isb,csc110,10,3,4,1,2,6,8,4,25,36,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.3
ciit/fa14-bse-1267/isb,csc110,5,6,1,10,4,9,4,8,16,26,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.34
ciit/fa14-bse-1306/isb,csc110,9,4,5,2,8,2,4,9,19,44,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.42
ciit/fa14-bse-1307/isb,csc110,7,3,4,5,5,6,6,5,16,33,NULL,NULL,NULL,NULL,NULL,NULL,csc,3
ciit/fa14-bse-1313/isb,csc110,2,3,8,5,3,5,8,4,19,47,NULL,NULL,NULL,NULL,NULL,NULL,csc,3
ciit/fa14-bse-1345/isb,csc110,6,6,3,5,3,4,10,7,23,47,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.79
ciit/fa14-bse-1403/isb,csc110,5,4,10,10,10,10,7,6,20,45,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.06
ciit/fa14-bse-1456/isb,csc110,8,6,10,8,6,7,1,4,18,34,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.44
ciit/fa14-bse-1472/isb,csc110,10,8,6,3,6,6,4,7,18,30,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.71
ciit/fa14-bse-1513/isb,csc110,6,6,6,4,7,9,8,8,24,36,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.33
ciit/fa14-bse-1545/isb,csc110,6,1,6,7,7,2,8,6,20,30,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.15
ciit/fa14-bse-1564/isb,csc110,3,7,8,2,3,2,9,3,19,47,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.62
ciit/fa14-bse-1630/isb,csc110,9,6,6,4,5,7,9,4,16,42,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.45
ciit/fa14-bse-1650/isb,csc110,8,1,8,1,7,4,4,7,15,47,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.19
ciit/fa14-bse-1657/isb,csc110,2,5,9,10,1,9,1,3,21,48,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.21
ciit/fa14-bse-1659/isb,csc110,2,6,7,9,3,10,2,9,21,36,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.51
ciit/fa14-bse-1674/isb,csc110,3,6,9,1,6,3,7,8,24,25,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.78
ciit/fa14-bse-1720/isb,csc110,1,2,8,4,9,3,8,5,16,36,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.77
ciit/fa14-bse-1781/isb,csc110,4,5,5,1,3,9,8,6,21,31,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.83
ciit/fa14-bse-1822/isb,csc110,9,3,4,4,5,6,2,5,22,48,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.77
ciit/fa14-bse-1825/isb,csc110,8,4,1,8,7,10,2,5,22,27,NULL,NULL,NULL,NULL,NULL,NULL,csc,3
ciit/fa14-bse-1847/isb,csc110,8,4,8,4,8,7,1,4,18,41,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.55
ciit/fa14-bse-1878/isb,csc110,8,1,9,7,4,10,3,4,17,40,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.6
ciit/fa14-bse-1886/isb,csc110,1,10,9,8,9,2,5,8,24,33,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.2
ciit/fa14-bse-1945/isb,csc110,1,7,2,4,5,7,1,3,23,38,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.17
ciit/fa14-bse-1952/isb,csc110,5,10,2,2,2,9,7,7,22,48,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.1
ciit/fa14-bse-2008/isb,csc110,6,1,9,2,5,1,9,9,21,34,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.34
ciit/fa14-bse-201/isb,csc110,4,6,5,2,8,5,3,8,21,27,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.02
ciit/fa14-bse-2041/isb,csc110,6,4,10,8,7,2,7,7,23,27,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.92
ciit/fa14-bse-2052/isb,csc110,8,6,4,5,10,8,8,4,23,48,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.35
ciit/fa14-bse-2082/isb,csc110,2,1,6,10,8,1,7,6,24,25,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.65
ciit/fa14-bse-2104/isb,csc110,1,1,6,4,8,8,10,4,19,28,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.42
ciit/fa14-bse-2117/isb,csc110,1,5,10,1,10,3,8,9,19,26,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.69
ciit/fa14-bse-2125/isb,csc110,10,9,2,3,10,2,4,6,25,47,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.29
ciit/fa14-bse-2133/isb,csc110,10,2,7,4,4,5,6,3,23,43,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.08
ciit/fa14-bse-2137/isb,csc110,8,6,4,9,2,1,2,7,24,43,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.75
ciit/fa14-bse-2180/isb,csc110,6,4,7,3,1,4,8,3,24,37,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.93
ciit/fa14-bse-219/isb,csc110,10,1,10,6,3,6,7,1,19,26,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.4
ciit/fa14-bse-2191/isb,csc110,7,4,9,3,5,4,3,1,15,48,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.27
ciit/fa14-bse-2206/isb,csc110,4,6,5,4,7,9,2,7,25,32,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.03
ciit/fa14-bse-2226/isb,csc110,4,1,2,1,2,2,5,4,24,35,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.92
ciit/fa14-bse-2231/isb,csc110,6,6,10,2,7,9,1,8,19,31,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.83
ciit/fa14-bse-2258/isb,csc110,2,9,9,3,4,3,10,4,16,35,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.42
ciit/fa14-bse-2289/isb,csc110,1,3,2,2,6,5,4,7,18,41,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.62
ciit/fa14-bse-23/isb,csc110,1,7,10,6,7,1,3,9,16,36,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.43
ciit/fa14-bse-2302/isb,csc110,5,2,4,3,5,1,8,6,21,44,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.1
ciit/fa14-bse-2306/isb,csc110,3,3,3,2,2,7,10,4,19,36,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.04
ciit/fa14-bse-2313/isb,csc110,6,5,5,6,3,10,5,6,20,25,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.4
ciit/fa14-bse-2315/isb,csc110,7,2,5,7,5,7,6,6,16,37,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.1
ciit/fa14-bse-2399/isb,csc110,2,8,1,10,8,1,9,6,16,35,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.13
ciit/fa14-bse-2418/isb,csc110,6,10,7,4,3,8,3,10,23,47,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.81
ciit/fa14-bse-2425/isb,csc110,5,9,6,7,9,2,8,10,18,46,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.09
ciit/fa14-bse-2461/isb,csc110,4,9,7,1,3,1,3,10,21,26,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.4
ciit/fa14-bse-2462/isb,csc110,5,2,5,2,10,8,2,2,15,29,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.87
ciit/fa14-bse-2479/isb,csc110,4,9,5,2,8,2,1,3,15,42,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.59
ciit/fa14-bse-2572/isb,csc110,8,1,2,2,6,7,4,10,17,29,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.61
ciit/fa14-bse-2584/isb,csc110,1,8,4,6,1,6,6,8,20,26,NULL,NULL,NULL,NULL,NULL,NULL,csc,3
ciit/fa14-bse-2604/isb,csc110,1,2,10,2,7,3,3,2,15,48,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.48
ciit/fa14-bse-2615/isb,csc110,6,4,10,5,8,9,3,1,22,25,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.67
ciit/fa14-bse-2652/isb,csc110,4,10,8,8,10,5,5,2,17,45,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.25
ciit/fa14-bse-2671/isb,csc110,8,8,2,3,5,10,1,1,17,25,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.85
ciit/fa14-bse-2698/isb,csc110,7,9,3,7,10,7,2,4,19,42,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.47
ciit/fa14-bse-2773/isb,csc110,7,7,10,5,9,5,9,9,15,30,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.88
ciit/fa14-bse-2778/isb,csc110,7,1,5,10,1,1,4,9,21,47,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.4
ciit/fa14-bse-2779/isb,csc110,6,8,7,5,9,10,5,10,20,36,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.94
ciit/fa14-bse-2781/isb,csc110,6,4,10,5,6,10,2,7,17,32,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.31
ciit/fa14-bse-2783/isb,csc110,5,5,10,5,9,10,10,6,20,35,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.88
ciit/fa14-bse-2823/isb,csc110,2,4,4,1,4,10,2,10,16,44,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.78
ciit/fa14-bse-2839/isb,csc110,10,7,3,7,2,6,9,3,22,38,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.33
ciit/fa14-bse-2855/isb,csc110,9,8,9,9,9,8,7,2,23,47,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.33
ciit/fa14-bse-2909/isb,csc110,1,1,5,3,2,2,4,4,15,46,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.87
ciit/fa14-bse-2945/isb,csc110,2,7,10,9,2,4,7,8,24,45,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.42
ciit/fa14-bse-2958/isb,csc110,10,7,10,9,9,2,6,9,18,46,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.31
ciit/fa14-bse-2966/isb,csc110,8,4,4,2,8,4,8,3,23,25,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.38
ciit/fa14-bse-2975/isb,csc110,8,6,1,3,8,7,1,5,22,31,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.12
ciit/fa14-bse-2998/isb,csc110,4,10,10,10,5,5,7,10,18,39,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.87
ciit/fa14-bse-3030/isb,csc110,1,2,8,4,1,4,8,4,24,36,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.25
ciit/fa14-bse-3074/isb,csc110,10,9,5,5,10,5,10,4,20,36,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.44
ciit/fa14-bse-3194/isb,csc110,1,6,5,2,4,3,3,10,25,47,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.87
ciit/fa14-bse-32/isb,csc110,10,8,4,9,8,8,7,4,15,46,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.71
ciit/fa14-bse-3214/isb,csc110,3,6,5,2,7,3,7,5,22,46,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.27
ciit/fa14-bse-3222/isb,csc110,7,3,3,5,1,3,2,5,21,40,NULL,NULL,NULL,NULL,NULL,NULL,csc,3
ciit/fa14-bse-3239/isb,csc110,2,7,2,6,9,1,3,2,17,47,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.14
ciit/fa14-bse-3263/isb,csc110,3,7,3,6,5,2,3,8,18,34,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.07
ciit/fa14-bse-3281/isb,csc110,2,10,2,7,4,5,8,7,20,27,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.45
ciit/fa14-bse-3323/isb,csc110,7,9,8,2,10,6,4,7,25,32,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.27
ciit/fa14-bse-3337/isb,csc110,10,2,9,1,2,3,9,1,21,48,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.56
ciit/fa14-bse-3377/isb,csc110,1,5,9,4,6,5,1,8,24,40,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.15
ciit/fa14-bse-3465/isb,csc110,10,8,3,6,9,7,5,10,24,47,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.4
ciit/fa14-bse-348/isb,csc110,10,10,9,2,4,5,6,8,17,38,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.06
ciit/fa14-bse-3518/isb,csc110,10,4,10,3,10,10,3,1,19,33,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.66
ciit/fa14-bse-3654/isb,csc110,6,1,2,2,7,1,1,10,25,46,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.78
ciit/fa14-bse-3684/isb,csc110,4,8,4,2,3,1,8,1,17,37,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.23
ciit/fa14-bse-3699/isb,csc110,4,2,5,8,6,2,5,3,25,29,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.38
ciit/fa14-bse-3708/isb,csc110,6,8,5,3,2,10,3,1,19,37,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.2
ciit/fa14-bse-3733/isb,csc110,9,5,7,2,4,6,4,8,25,27,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.78
ciit/fa14-bse-443/isb,csc110,7,9,9,4,3,4,8,8,19,46,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.27
ciit/fa14-bse-455/isb,csc110,7,8,8,7,2,8,7,5,21,34,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.14
ciit/fa14-bse-501/isb,csc110,6,6,6,4,9,3,3,7,23,48,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.44
ciit/fa14-bse-510/isb,csc110,7,8,1,10,6,5,10,1,22,32,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.48
ciit/fa14-bse-576/isb,csc110,7,3,10,2,10,3,6,1,21,34,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.4
ciit/fa14-bse-580/isb,csc110,2,7,7,2,10,5,6,6,22,27,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.69
ciit/fa14-bse-624/isb,csc110,5,3,2,3,1,10,8,7,19,29,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.84
ciit/fa14-bse-643/isb,csc110,2,7,4,10,9,8,2,7,17,37,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.01
ciit/fa14-bse-671/isb,csc110,7,3,7,7,4,6,5,5,21,29,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.65
ciit/fa14-bse-677/isb,csc110,2,8,7,8,10,8,8,8,24,35,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.94
ciit/fa14-bse-679/isb,csc110,4,6,6,3,5,10,6,6,20,36,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.62
ciit/fa14-bse-692/isb,csc110,3,4,1,10,3,4,9,5,19,32,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.63
ciit/fa14-bse-747/isb,csc110,2,9,3,8,2,6,7,3,18,44,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.24
ciit/fa14-bse-765/isb,csc110,10,8,5,2,8,10,4,9,21,29,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.7
ciit/fa14-bse-843/isb,csc110,8,6,7,9,6,7,5,3,23,35,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.02
ciit/fa14-bse-910/isb,csc110,2,7,10,6,5,10,4,1,22,33,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.01
ciit/fa14-bse-914/isb,csc110,4,10,5,9,1,10,7,6,21,48,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.18
ciit/fa14-bse-939/isb,csc110,8,8,5,6,5,4,2,9,24,41,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.42
ciit/fa14-bse-950/isb,csc110,6,9,2,6,8,7,8,4,25,33,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.83
ciit/fa14-bse-966/isb,csc110,2,4,3,6,10,6,2,2,20,43,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.18
ciit/fa14-bse-976/isb,csc110,6,6,2,6,1,2,5,5,15,35,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.48
ciit/fa14-bse-99/isb,csc110,2,6,10,3,7,2,5,10,20,28,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.92
ciit/fa15-bse-1030/isb,csc110,9,9,2,5,9,2,4,9,16,28,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.85
ciit/fa15-bse-1039/isb,csc110,1,1,1,10,6,2,9,3,18,30,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.71
ciit/fa15-bse-1153/isb,csc110,4,6,4,5,4,7,2,7,22,34,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.03
ciit/fa15-bse-1161/isb,csc110,10,10,8,10,8,8,2,9,23,38,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.92
ciit/fa15-bse-1172/isb,csc110,6,2,1,2,3,8,2,7,22,41,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.72
ciit/fa15-bse-1388/isb,csc110,1,6,6,9,8,7,3,5,24,46,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.66
ciit/fa15-bse-1439/isb,csc110,3,7,8,5,7,5,10,2,22,40,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.98
ciit/fa15-bse-1476/isb,csc110,5,9,10,7,7,9,6,7,15,43,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.58
ciit/fa15-bse-1492/isb,csc110,3,10,8,9,2,2,8,4,15,35,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.42
ciit/fa15-bse-150/isb,csc110,9,5,7,5,4,3,4,7,23,35,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.62
ciit/fa15-bse-1502/isb,csc110,7,2,6,4,1,10,4,1,20,34,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.29
ciit/fa15-bse-1507/isb,csc110,4,6,8,10,4,9,3,10,18,27,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.06
ciit/fa15-bse-1563/isb,csc110,6,10,8,10,9,5,3,6,22,32,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.1
ciit/fa15-bse-1611/isb,csc110,4,4,7,5,8,5,5,10,19,36,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.96
ciit/fa15-bse-1617/isb,csc110,7,5,2,4,2,7,2,2,18,36,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.95
ciit/fa15-bse-1641/isb,csc110,10,2,7,1,8,5,1,8,16,40,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.85
ciit/fa15-bse-1660/isb,csc110,2,3,3,7,4,6,3,10,18,36,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.57
ciit/fa15-bse-1775/isb,csc110,2,2,2,9,6,5,8,10,24,26,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.42
ciit/fa15-bse-1776/isb,csc110,1,2,8,10,10,6,4,10,22,31,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.85
ciit/fa15-bse-1843/isb,csc110,4,9,9,2,6,8,7,3,17,47,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.38
ciit/fa15-bse-185/isb,csc110,10,5,9,8,6,9,5,5,20,44,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.71
ciit/fa15-bse-1857/isb,csc110,4,1,1,2,10,7,3,4,22,38,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.08
ciit/fa15-bse-1867/isb,csc110,5,2,9,1,4,6,2,9,24,45,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.87
ciit/fa15-bse-1889/isb,csc110,2,2,5,8,10,6,8,1,20,39,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.79
ciit/fa15-bse-1927/isb,csc110,3,6,5,3,3,3,6,4,18,46,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.97
ciit/fa15-bse-1964/isb,csc110,4,9,4,8,5,3,5,8,17,27,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.12
