Registration_number,Course_no,Quiz1,Quiz2,Quiz3,Quiz4,Assignment1,Assignment2,Assignment3,Assignment4,MidTerm,FinalTerm,LabMidTerm,LabFinalTerm,LabAssignment1,LabAssignment2,LabTask1,LabTask2,Course_cat,Course_GPA
ciit/fa14-bse-1051/isb,csc303,5,4,4,2,5,10,8,1,19,34,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.46
ciit/fa14-bse-1109/isb,csc303,6,5,7,10,1,5,9,7,16,35,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.59
ciit/fa14-bse-1110/isb,csc303,1,10,9,8,5,8,1,10,20,45,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.52
ciit/fa14-bse-116/isb,csc303,9,3,8,7,4,4,10,4,25,26,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.42
ciit/fa14-bse-1173/isb,csc303,4,2,2,8,7,8,6,8,16,28,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.05
ciit/fa14-bse-1194/isb,csc303,3,7,1,5,5,2,3,3,19,41,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.4
ciit/fa14-bse-1202/isb,csc303,9,5,10,1,8,7,6,1,21,39,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.6
ciit/fa14-bse-1204/isb,csc303,6,4,3,2,10,10,1,5,24,43,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.69
ciit/fa14-bse-1267/isb,csc303,10,8,1,6,1,6,1,8,15,43,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.02
ciit/fa14-bse-1306/isb,csc303,1,5,6,9,1,6,1,5,24,25,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.12
ciit/fa14-bse-1307/isb,csc303,6,2,1,10,4,5,1,8,25,43,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.28
ciit/fa14-bse-1313/isb,csc303,1,5,5,9,1,1,1,5,18,30,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.65
ciit/fa14-bse-1345/isb,csc303,6,8,9,7,8,2,5,4,16,39,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.6
ciit/fa14-bse-1403/isb,csc303,8,9,8,8,6,9,1,1,24,40,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.44
ciit/fa14-bse-1456/isb,csc303,6,2,6,9,4,4,2,8,23,34,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.81
ciit/fa14-bse-1472/isb,csc303,3,1,4,4,10,4,8,10,20,28,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.46
ciit/fa14-bse-1513/isb,csc303,6,6,5,9,2,3,7,6,16,37,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.73
ciit/fa14-bse-1545/isb,csc303,5,3,6,4,7,1,1,4,17,25,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.27
ciit/fa14-bse-1564/isb,csc303,2,1,4,5,10,2,2,3,21,31,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.65
