Registration_number,Course_no,Quiz1,Quiz2,Quiz3,Quiz4,Assignment1,Assignment2,Assignment3,Assignment4,MidTerm,FinalTerm,LabMidTerm,LabFinalTerm,LabAssignment1,LabAssignment2,LabTask1,LabTask2,Course_cat,Course_GPA
ciit/fa14-bcs-106/isb,bio310,0,0,9,10,3,7,10,5,23,34,16,34,2,10,4,8,bio,2.94
ciit/fa14-bcs-106/isb,csc499,0,7,0,2,10,9,7,2,16,45,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.85
ciit/fa14-bcs-106/isb,hum434,4,6,6,1,10,7,0,0,21,42,NULL,NULL,NULL,NULL,NULL,NULL,hum,2.91
ciit/fa14-bcs-106/isb,mgt131,6,7,5,6,8,10,1,5,9,44,NULL,NULL,NULL,NULL,NULL,NULL,mgt,3.45
ciit/fa14-bcs-1092/isb,bio310,2,4,2,7,3,8,4,10,20,0,20,46,9,9,10,4,bio,2.46
ciit/fa14-bcs-1092/isb,csc499,8,5,1,4,4,9,10,4,25,45,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.03
ciit/fa14-bcs-1092/isb,hum434,10,9,9,9,6,3,2,4,24,43,NULL,NULL,NULL,NULL,NULL,NULL,hum,3.13
ciit/fa14-bcs-1092/isb,mgt131,4,5,5,1,9,8,9,1,23,32,NULL,NULL,NULL,NULL,NULL,NULL,mgt,2.5
ciit/fa14-bcs-1139/isb,bio310,5,2,2,4,1,9,8,4,20,40,22,42,8,4,7,5,bio,3.19
ciit/fa14-bcs-1139/isb,csc499,8,1,5,7,8,4,1,7,24,48,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.4
ciit/fa14-bcs-1139/isb,hum434,9,8,6,7,9,7,4,9,23,37,NULL,NULL,NULL,NULL,NULL,NULL,hum,3.08
ciit/fa14-bcs-1139/isb,mgt131,7,3,7,7,1,4,1,2,24,31,NULL,NULL,NULL,NULL,NULL,NULL,mgt,2.48
ciit/fa14-bcs-1189/isb,bio310,8,1,3,7,6,10,1,6,24,39,21,47,6,7,1,2,bio,2.54
ciit/fa14-bcs-1189/isb,csc499,4,2,7,5,1,8,6,8,24,42,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.33
ciit/fa14-bcs-1189/isb,hum434,10,4,10,6,6,1,10,9,22,43,NULL,NULL,NULL,NULL,NULL,NULL,hum,2.95
ciit/fa14-bcs-1189/isb,mgt131,2,10,6,7,3,1,9,2,15,32,NULL,NULL,NULL,NULL,NULL,NULL,mgt,2.87
ciit/fa14-bcs-1190/isb,bio310,2,10,4,8,1,4,2,4,23,40,20,31,4,10,7,7,bio,2.81
ciit/fa14-bcs-1190/isb,csc499,10,9,2,1,7,6,8,10,24,25,NULL,NULL,NULL,NULL,NULL,NULL,csc,3.15
ciit/fa14-bcs-1190/isb,hum434,3,9,3,10,4,1,9,7,24,43,NULL,NULL,NULL,NULL,NULL,NULL,hum,2.31
ciit/fa14-bcs-1190/isb,mgt131,5,6,4,1,3,2,3,7,17,38,NULL,NULL,NULL,NULL,NULL,NULL,mgt,2.63
ciit/fa14-bcs-1241/isb,bio310,7,8,10,8,8,8,2,6,25,41,18,35,5,9,3,1,bio,2.49
ciit/fa14-bcs-1241/isb,csc499,8,8,7,3,7,7,10,2,17,31,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.48
ciit/fa14-bcs-1241/isb,hum434,4,8,8,7,4,3,9,4,17,27,NULL,NULL,NULL,NULL,NULL,NULL,hum,3.2
ciit/fa14-bcs-1241/isb,mgt131,6,9,8,3,8,2,8,10,17,42,NULL,NULL,NULL,NULL,NULL,NULL,mgt,3.21
ciit/fa14-bcs-1255/isb,bio310,7,2,7,10,2,10,6,6,25,32,17,45,2,5,7,7,bio,2.29
ciit/fa14-bcs-1255/isb,csc499,7,1,9,10,6,2,1,4,19,37,NULL,NULL,NULL,NULL,NULL,NULL,csc,2.3
ciit/fa14-bcs-1255/isb,hum434,6,1,3,10,1,1,9,1,23,35,NULL,NULL,NULL,NULL,NULL,NULL,hum,3.12
ciit/fa14-bcs-1255/isb,mgt131,3,2,7,2,4,9,6,2,21,42,NULL,NULL,NULL,NULL,NULL,NULL,mgt,2.9
