Registration_number,Gender_id,Domicile_id,Program_id,Session_id,Year_id,Status_id,Merit_rank,Academic_Standing_University,Academic_Standing_Department,Academic_Standing_Batch,PreAdmission_Score,Max_PreAdmission_score,Average_CourseCode_HUM_Gpa,Average_CourseCode_CSC_Gpa,Average_CourseCode_MTH_Gpa,Average_CourseCode_PHY_Gpa,Average_CourseCode_EEE_Gpa,Average_CourseCode_BIO_Gpa,Average_CourseCode_CSE_Gpa,Average_CourseCode_MGT_Gpa,Average_CourseCode_ENV_Gpa,Average_CourseCode_CSD_Gpa,Matric_inter_Improvement_index,Average_CGPA,Matric_Degree_id,Matric_Board_id,Matric_Marks,Max_Matric_Marks,Matric_Percentage,Matric_Rank,Matric_Board_Performance_Avg_Standpoint,Matric_Degree_Performance_Avg_Standpoint,Matric_Domicile_Performance_Avg_Standpoint,Matric_Performance_Avg_Standpoint,Matric_Student_Performance_Score,Inter_Board_id,Inter_Degree_id,Inter_Subject_id,Inter_Marks,Max_Inter_Marks,Inter_Percentage,Inter_Rank,Inter_Board_Performance_Avg_Standpoint,Inter_Degree_Performance_Avg_Standpoint,Inter_Domicile_Performance_Avg_Standpoint,Inter_Subject_Performance_Avg_Standpoint,inter_performance_Avg_Standpoint,Inter_Student_Performance_score,GPA_Semester_1,GPA_Semester_2,GPA_Semester_3,GPA_Semester_4,GPA_Semester_5,GPA_Semester_6,GPA_Semester_7,GPA_Semester_8,GPA_Semester_9,GPA_Semester_10,GPA_Semester_11,GPA_Semester_12
ciit/fa14-bcs-106/isb,1,7,1,1,1,2,3364,75,72,78,NULL,NULL,2.98333333333333,3.09,2.96666666666667,NULL,3.165,NULL,NULL,2.89,NULL,NULL,-0.08,3.03,1,22,878,1050,0.836190476,2032,-1.22,-2.23,-2.86,5.33,2373,22,4,8,423,550,0.769091,1619,2.65,3.29,5.7,5.54,11.26,1784,2.89,2.99,3.4,2.76,3.38,3.02,3.07,2.74,NULL,NULL,NULL,NULL
ciit/fa14-bcs-1092/isb,1,8,1,1,1,2,727,57,54,56,NULL,NULL,3.225,2.39826086956522,2.82833333333333,NULL,3.0425,NULL,NULL,2.61,NULL,NULL,-0.08,2.7,1,12,781,850,0.918823529,493,45.03,14.58,26.87,13.75,19,12,4,8,463,550,0.841818,621,9.85,10.66,14.82,12.93,18.63,762,3.28,3.23,3.42,2.12,2.24,2.8,1.61,2.91,NULL,NULL,NULL,NULL
ciit/fa14-bcs-1139/isb,1,7,1,1,1,2,3418,76,73,78,NULL,NULL,3.19857142857143,3.03565217391304,3.06666666666667,NULL,3.1,NULL,NULL,3.26,NULL,NULL,-0.06,3.08,1,28,802,1050,0.763809524,2979,-17.38,-16.96,-17.6,-2.04,3272,28,4,8,786,1100,0.714545,2440,0.19,-2.24,0.17,0,5.73,2436,2.71,3.36,3.17,2.92,3.16,3.32,2.49,3.54,NULL,NULL,NULL,NULL
ciit/fa14-bcs-1189/isb,1,5,1,1,1,2,866,66,63,66,NULL,NULL,3.012,2.92391304347826,2.98,NULL,3.115,NULL,NULL,2.86666666666667,NULL,NULL,-0.05,2.96,1,28,843,1050,0.802857143,2555,-9.38,-9.02,-5.09,1.94,2813,28,4,8,836,1100,0.76,1734,4.81,2.37,8.81,4.62,10.34,1674,2.69,3.12,3.44,2.53,3.21,3.05,2.61,3.02,NULL,NULL,NULL,NULL
ciit/fa14-bcs-1190/isb,1,5,1,1,1,2,1849,32,32,34,NULL,NULL,2.29666666666667,2.35909090909091,2.24333333333333,NULL,2.6125,NULL,NULL,1.865,NULL,NULL,-0.15,2.3,1,28,786,1050,0.748571429,3130,-20.49,-20.07,-16.77,-3.59,3342,28,4,8,348,550,0.632727,3039,-8.12,-10.54,-4.12,-8.31,-2.57,3542,2.57,1.74,2.68,1.38,3.46,2.35,2,2.48,2,NULL,NULL,NULL
ciit/fa14-bcs-1241/isb,1,7,1,1,1,2,1087,28,28,31,NULL,NULL,2.684,2.21590909090909,2.40166666666667,NULL,2.4825,NULL,NULL,2.17,NULL,NULL,-0.12,2.34,1,28,850,1050,0.80952381,2457,-8.02,-7.66,-8.29,2.62,2808,28,4,8,391,550,0.710909,2489,-0.18,-2.61,-0.2,-0.37,5.36,2490,2.89,2.76,2.12,1.53,2.16,2.24,2.25,2.74,NULL,NULL,NULL,NULL
ciit/fa14-bcs-1255/isb,1,5,1,1,1,2,1654,77,75,80,NULL,NULL,3.38142857142857,3.01136363636364,3.12833333333333,NULL,3.2875,NULL,NULL,3.17,NULL,NULL,0.13,3.17,1,28,774,1050,0.737142857,3194,-22.83,-22.39,-19.23,-4.76,3413,28,4,4,460,550,0.836364,689,12.56,10.11,16.56,17.22,18.08,675,3.37,3.24,3.49,2.64,3.05,3.39,2.68,3.48,NULL,NULL,NULL,NULL
ciit/fa14-bcs-1272/isb,1,NULL,1,1,NULL,2,3491,23,24,24,NULL,NULL,2.4,2.04090909090909,2.145,NULL,2.405,NULL,NULL,1.99,NULL,NULL,NULL,2.13,NULL,NULL,0,0,0,-1,NULL,NULL,NULL,NULL,2174,NULL,NULL,NULL,0,0,0,-1,NULL,NULL,NULL,NULL,NULL,2679,1.82,2.92,2.85,1.9,2.11,1.95,2.12,1.86,2.06,1.7,NULL,NULL
ciit/fa14-bcs-1354/isb,1,7,1,1,1,2,3409,94,93,96,NULL,NULL,3.61857142857143,3.50363636363636,3.45333333333333,NULL,3.6225,NULL,NULL,3.41,NULL,NULL,-0.06,3.53,1,22,805,1050,0.766666667,2959,-15.7,-16.38,-17.01,-1.75,3231,28,4,4,398,550,0.723636,2307,1.11,-1.32,1.09,5.75,6.65,2331,3.59,3.64,3.83,2.95,3.43,3.76,3.55,3.52,NULL,NULL,NULL,NULL
ciit/fa14-bcs-1429/isb,1,7,1,1,1,2,3442,24,24,25,NULL,NULL,2.25,1.97909090909091,1.77333333333333,NULL,2.075,NULL,NULL,1.71,NULL,NULL,-0.02,2.07,1,28,742,1050,0.706666667,3313,-29.07,-28.59,-29.23,-7.86,3562,22,4,4,379,550,0.689091,2708,-5.57,-4.82,-2.41,2.23,3.15,3326,2.49,1.97,2.3,1.31,2.45,1.54,1.69,1.68,2.28,3,NULL,NULL
ciit/fa14-bcs-1443/isb,2,7,1,1,1,2,319,69,67,71,NULL,NULL,2.675,3.15434782608696,2.90833333333333,NULL,2.63,NULL,NULL,2.945,NULL,NULL,-1.00,2.96,2,27,759,900,0.843333333,1906,13.94,13.65,-1.41,6.06,1262,27,1,8,0,1100,0,-1,NULL,NULL,NULL,NULL,NULL,2681,1.84,3.09,2.84,2.63,3,3.21,3.26,3.39,3.35,NULL,NULL,NULL
ciit/fa14-bcs-1509/isb,1,NULL,1,1,NULL,2,3490,20,21,18,NULL,NULL,2.076,1.85545454545455,2.09333333333333,NULL,1.945,NULL,NULL,1.97666666666667,NULL,NULL,NULL,1.95,NULL,NULL,0,0,0,-1,NULL,NULL,NULL,NULL,2172,NULL,NULL,NULL,0,0,0,-1,NULL,NULL,NULL,NULL,NULL,2682,2.39,1.74,2.12,1.91,1.73,1.53,1.66,2.49,NULL,NULL,NULL,NULL
ciit/fa14-bcs-1600/isb,1,7,1,1,1,2,3166,25,25,26,NULL,NULL,2.174,1.84333333333333,1.83333333333333,NULL,2.25666666666667,NULL,NULL,1.77,NULL,NULL,-0.05,1.86,1,10,931,1050,0.886666667,1068,5.54,8.04,7.41,10.47,1281,10,4,8,463,550,0.841818,621,11.37,10.66,13.07,12.93,18.63,765,1.95,3.14,2.58,0.69,1.77,1.89,0.64,2.24,NULL,NULL,NULL,NULL
ciit/fa14-bcs-163/isb,1,4,1,1,1,2,3385,88,85,88,NULL,NULL,3.08833333333333,3.27826086956522,3.24833333333333,NULL,3.34,NULL,NULL,3.29666666666667,NULL,NULL,-0.20,3.24,1,22,954,1050,0.908571429,638,13.85,12.5,26.86,12.71,415,22,4,8,400,550,0.727273,2251,-1.65,-0.95,2.12,1.29,7.02,2362,2.84,3.09,3.44,3.46,3.84,3.2,2.79,3.23,NULL,NULL,NULL,NULL
ciit/fa14-bcs-1652/isb,2,NULL,1,1,NULL,2,3489,71,68,75,NULL,NULL,3.21666666666667,2.98090909090909,3.14666666666667,NULL,3.13,NULL,NULL,2.91333333333333,NULL,NULL,NULL,3.03,NULL,NULL,0,0,0,-1,NULL,NULL,NULL,NULL,2173,NULL,NULL,NULL,0,0,0,-1,NULL,NULL,NULL,NULL,NULL,2680,3.3,3.48,3.16,2.78,2.84,3.38,2.72,2.58,NULL,NULL,NULL,NULL
ciit/fa14-bcs-1780/isb,1,7,1,1,1,1,1999,9,8,4,NULL,NULL,0.83,0.83,0.83,NULL,0.83,NULL,NULL,NULL,NULL,NULL,-0.24,0.83,1,20,865,1050,0.823809524,2237,-16.07,-4.75,-5.38,4.07,2824,20,4,4,346,550,0.629091,3057,-11.56,-10.91,-8.5,-3.87,-2.93,3627,0.83,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ciit/fa14-bcs-1796/isb,1,5,1,1,1,2,1615,54,51,53,NULL,NULL,3.16,2.69173913043478,2.92,NULL,3.1375,NULL,NULL,2.7,NULL,NULL,-0.13,2.84,1,28,859,1050,0.818095238,2312,-6.27,-5.92,-1.81,3.49,2579,28,4,8,390,550,0.709091,2504,-0.36,-2.79,3.64,-0.56,5.18,2389,3.56,3.16,3.1,2.57,2.73,2.83,2.25,2.48,NULL,NULL,NULL,NULL
ciit/fa14-bcs-1813/isb,1,7,1,1,1,2,3365,65,63,65,NULL,NULL,3.08333333333333,2.82625,3.18166666666667,NULL,2.975,NULL,NULL,2.97,NULL,NULL,-0.16,2.92,1,28,938,1050,0.893333333,924,9.13,9.4,8.77,11.15,1055,28,4,8,415,550,0.754545,1820,4.25,1.81,4.22,4.06,9.78,1886,3.25,3.35,3.17,3.38,3.05,2.56,2.44,2.13,NULL,NULL,NULL,NULL
ciit/fa14-bcs-1821/isb,1,7,1,1,1,2,3461,59,57,59,NULL,NULL,3.13,2.69863636363636,2.94166666666667,NULL,3.07,NULL,NULL,2.655,NULL,NULL,-0.14,2.79,1,22,778,1050,0.740952381,3169,-21.05,-21.62,-22.25,-4.37,3414,28,4,4,350,550,0.636364,3027,-7.75,-10.17,-7.76,-3.13,-2.2,3566,3.18,3.32,3.05,2.79,2.57,2.52,2.16,2.73,NULL,NULL,NULL,NULL
ciit/fa14-bcs-1860/isb,1,7,1,1,1,2,1397,57,54,56,NULL,NULL,2.80166666666667,2.77045454545455,2.91333333333333,NULL,3.005,NULL,NULL,2.13,NULL,NULL,-0.06,2.73,1,20,910,1050,0.866666667,1501,-2.05,3.97,3.34,8.44,1763,20,4,8,447,550,0.812727,1020,7.06,7.71,10.12,9.97,15.68,1216,2.95,3.05,3.07,2.91,2.95,2.59,2.56,1.74,NULL,NULL,NULL,NULL
ciit/fa14-bcs-1953/isb,1,7,1,1,1,2,1582,91,89,91,NULL,NULL,3.41285714285714,3.42045454545455,3.38833333333333,NULL,3.545,NULL,NULL,3.31,NULL,NULL,-0.10,3.41,1,28,928,1050,0.883809524,1125,7.18,7.46,6.83,10.18,1275,28,4,8,438,550,0.796364,1222,8.5,6.05,8.46,8.31,14.02,1307,3.32,3.55,3.63,3.16,3.68,3.51,3.18,3.26,NULL,NULL,NULL,NULL
ciit/fa14-bcs-1975/isb,2,7,1,1,1,2,3122,85,82,86,NULL,NULL,3.32,3.21565217391304,3.35,NULL,3.3075,NULL,NULL,3.19666666666667,NULL,NULL,-0.09,3.24,1,11,968,1050,0.921904762,424,16.95,15.21,14.58,14.06,513,11,4,4,463,550,0.841818,621,10.26,10.66,13.07,17.78,18.63,803,3.14,3.56,3.44,3.45,3.09,3.06,3.12,3.08,NULL,NULL,NULL,NULL
ciit/fa14-bcs-1983/isb,1,NULL,1,1,NULL,2,3496,31,30,33,NULL,NULL,2.11,2.25181818181818,2.605,NULL,2.275,NULL,NULL,2.51,NULL,NULL,NULL,2.23,NULL,NULL,0,0,0,-1,NULL,NULL,NULL,NULL,2167,NULL,NULL,NULL,0,0,0,-1,NULL,NULL,NULL,NULL,NULL,2683,2.88,1.87,1.05,1.72,2.59,2.3,2.63,2.31,2.7,NULL,NULL,NULL
ciit/fa14-bcs-1994/isb,1,7,1,1,1,1,3316,0,0,0,NULL,NULL,0,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,-0.09,NULL,1,28,938,1050,0.893333333,924,9.13,9.4,8.77,11.15,1054,28,4,4,445,550,0.809091,1067,9.79,7.34,9.75,14.45,15.31,1154,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
