Registration_number,Course_no,Quiz1,Quiz2,Quiz3,Quiz4,Assignment1,Assignment2,Assignment3,Assignment4,MidTerm,FinalTerm,LabMidTerm,LabFinalTerm,LabAssignment1,LabAssignment2,LabTask1,LabTask2,Course_cat
ciit/fa14-bcs-106/isb,csc303,8,9,4,5,5,0,9,7,2,22,21,47,5,3,4,3,csc
ciit/fa14-bcs-106/isb,csc312,0,9,3,7,4,5,5,7,14,47,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-106/isb,csc321,10,8,4,7,8,10,3,4,11,46,18,29,4,6,3,5,csc
ciit/fa14-bcs-106/isb,csc350,2,8,6,4,3,10,5,0,22,24,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-106/isb,csc354,8,3,2,9,1,0,5,2,4,47,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-106/isb,csc475,6,8,10,0,7,4,1,5,14,32,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1092/isb,csc303,1,8,4,5,1,6,4,0,0,42,19,31,1,5,7,10,csc
ciit/fa14-bcs-1092/isb,csc312,6,6,1,1,3,1,3,4,13,25,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1092/isb,csc321,7,8,8,2,5,6,4,2,20,35,16,44,5,3,6,1,csc
ciit/fa14-bcs-1092/isb,csc350,2,9,1,5,8,2,2,2,0,24,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1092/isb,csc354,6,9,1,7,9,0,9,0,4,48,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1092/isb,csc475,2,8,6,3,9,4,8,6,17,43,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1139/isb,csc303,8,3,9,8,4,3,6,2,4,25,20,45,0,2,1,9,csc
ciit/fa14-bcs-1139/isb,csc312,3,7,8,8,2,10,8,6,9,10,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1139/isb,csc321,3,6,1,0,9,4,1,1,18,18,15,31,8,5,4,8,csc
ciit/fa14-bcs-1139/isb,csc350,2,6,1,5,1,4,9,2,15,22,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1139/isb,csc354,4,8,4,8,10,8,7,7,0,24,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1139/isb,csc475,6,1,10,4,4,5,3,0,25,20,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1189/isb,csc303,0,4,5,5,4,7,2,3,12,29,25,36,4,5,2,2,csc
ciit/fa14-bcs-1189/isb,csc312,9,2,7,6,1,2,10,1,20,22,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1189/isb,csc321,3,2,5,10,3,9,6,5,8,31,19,29,3,0,0,3,csc
ciit/fa14-bcs-1189/isb,csc350,5,5,4,2,7,2,8,8,24,18,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1189/isb,csc354,3,7,2,8,2,2,9,2,4,25,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1189/isb,csc475,10,1,8,5,10,3,2,7,24,19,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1190/isb,csc303,4,0,3,4,10,1,1,9,6,21,18,37,9,10,6,6,csc
ciit/fa14-bcs-1190/isb,csc312,0,2,2,10,7,9,7,7,22,47,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1190/isb,csc321,3,10,0,8,2,10,0,7,24,40,23,30,2,4,4,4,csc
ciit/fa14-bcs-1190/isb,csc350,0,9,9,3,7,1,7,1,0,22,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1190/isb,csc354,4,1,10,4,3,3,7,1,23,38,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1190/isb,csc475,5,7,10,0,8,3,0,7,19,17,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1241/isb,csc303,6,8,1,7,3,10,3,0,16,29,22,36,9,2,7,2,csc
ciit/fa14-bcs-1241/isb,csc312,3,6,8,3,1,6,6,0,13,39,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1241/isb,csc321,9,3,8,10,3,1,10,7,22,37,21,47,1,10,8,1,csc
ciit/fa14-bcs-1241/isb,csc350,8,5,5,1,1,10,7,1,24,35,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1241/isb,csc354,10,8,7,10,0,2,3,2,4,25,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1241/isb,csc475,6,2,9,1,2,5,4,0,12,32,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1255/isb,csc303,1,7,6,2,6,9,10,5,0,48,16,37,6,7,7,8,csc
ciit/fa14-bcs-1255/isb,csc312,5,0,9,3,4,3,7,4,20,40,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1255/isb,csc321,5,6,3,1,7,9,8,8,15,13,16,49,1,5,4,0,csc
ciit/fa14-bcs-1255/isb,csc350,7,0,2,4,6,6,4,3,13,36,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1255/isb,csc354,9,2,2,5,7,1,9,0,14,19,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1255/isb,csc475,6,1,2,5,6,2,1,4,15,45,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1272/isb,csc303,1,2,2,3,10,10,5,7,0,47,24,46,5,1,6,8,csc
ciit/fa14-bcs-1272/isb,csc312,6,9,8,6,2,0,2,0,7,48,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1272/isb,csc321,9,0,4,8,7,6,9,8,25,16,17,41,8,6,10,7,csc
ciit/fa14-bcs-1272/isb,csc350,6,7,4,9,4,5,7,2,8,23,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1272/isb,csc354,9,6,8,2,4,7,1,6,9,31,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1272/isb,csc475,2,6,2,2,0,1,0,7,6,39,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1354/isb,csc303,6,6,6,9,9,6,10,10,12,12,25,36,4,6,0,0,csc
ciit/fa14-bcs-1354/isb,csc312,1,5,9,8,2,10,0,3,17,29,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1354/isb,csc321,10,10,1,6,10,0,7,4,6,27,25,41,0,7,1,8,csc
ciit/fa14-bcs-1354/isb,csc350,5,1,7,2,1,1,6,7,18,43,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1354/isb,csc354,6,0,7,8,7,6,5,9,12,49,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1354/isb,csc475,4,10,0,2,9,4,9,5,24,13,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1429/isb,csc303,7,3,1,7,4,8,3,2,4,12,21,29,9,0,4,4,csc
ciit/fa14-bcs-1429/isb,csc312,7,6,6,10,9,0,4,8,18,30,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1429/isb,csc321,5,2,6,8,3,6,0,10,0,10,23,34,4,3,10,4,csc
ciit/fa14-bcs-1429/isb,csc350,6,6,9,1,4,0,8,7,13,44,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1429/isb,csc354,9,2,6,2,10,0,4,2,11,22,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1429/isb,csc475,7,7,0,0,3,6,3,7,6,38,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1443/isb,csc303,8,8,4,3,2,9,9,5,12,47,22,36,9,5,7,8,csc
ciit/fa14-bcs-1443/isb,csc312,0,1,8,3,0,1,0,0,11,46,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1443/isb,csc321,10,3,1,8,8,1,9,6,18,44,15,45,5,10,0,0,csc
ciit/fa14-bcs-1443/isb,csc350,6,0,2,7,0,4,0,1,4,13,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1443/isb,csc354,7,4,4,6,9,3,4,1,18,46,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1443/isb,csc475,10,2,6,1,6,1,2,7,9,34,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1509/isb,csc303,3,8,10,0,7,2,4,7,24,45,15,38,8,7,7,4,csc
ciit/fa14-bcs-1509/isb,csc312,7,6,2,7,10,9,3,6,4,27,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1509/isb,csc321,3,8,10,3,7,10,4,7,9,27,16,44,8,6,3,8,csc
ciit/fa14-bcs-1509/isb,csc350,1,1,1,2,8,5,1,7,10,28,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1509/isb,csc354,10,8,1,5,7,9,6,3,3,45,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1509/isb,csc475,3,1,6,10,0,2,8,8,1,27,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1600/isb,csc303,0,4,7,1,1,4,3,0,12,19,24,49,2,7,10,10,csc
ciit/fa14-bcs-1600/isb,csc312,3,3,1,9,7,10,2,0,12,27,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1600/isb,csc321,4,3,7,0,5,9,9,0,4,35,25,26,8,4,9,7,csc
ciit/fa14-bcs-1600/isb,csc350,7,3,4,8,10,8,4,9,19,44,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1600/isb,csc354,9,5,10,3,10,10,7,1,25,23,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1600/isb,csc475,4,8,8,1,2,8,0,6,8,12,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-163/isb,csc303,7,6,5,6,1,0,3,3,16,10,23,30,2,1,5,1,csc
ciit/fa14-bcs-163/isb,csc312,7,8,6,3,7,8,6,6,0,47,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-163/isb,csc321,6,3,4,4,2,10,7,3,24,13,23,26,0,2,10,0,csc
ciit/fa14-bcs-163/isb,csc350,6,9,10,3,5,5,9,10,22,15,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-163/isb,csc354,10,5,1,7,0,2,6,9,18,15,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-163/isb,csc475,7,4,1,10,7,0,9,2,7,23,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1652/isb,csc303,9,2,5,5,6,0,10,10,20,32,25,45,8,2,4,0,csc
ciit/fa14-bcs-1652/isb,csc312,0,5,9,1,0,1,4,8,16,14,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1652/isb,csc321,6,10,4,1,8,2,4,10,9,48,23,34,6,4,8,4,csc
ciit/fa14-bcs-1652/isb,csc350,6,1,1,3,4,0,7,8,23,11,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1652/isb,csc354,7,6,2,9,3,7,9,3,0,36,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1652/isb,csc475,4,7,8,5,0,5,1,7,11,22,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1780/isb,csc303,10,5,4,2,5,5,4,9,4,47,22,30,10,0,4,1,csc
ciit/fa14-bcs-1780/isb,csc312,0,10,2,10,2,1,2,0,7,46,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1780/isb,csc321,10,8,7,6,4,0,10,2,12,49,21,28,4,1,2,3,csc
ciit/fa14-bcs-1780/isb,csc350,9,5,6,4,6,8,1,7,11,42,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1780/isb,csc354,0,2,8,10,0,8,0,5,22,38,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1780/isb,csc475,9,6,9,1,0,0,1,3,4,10,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1796/isb,csc303,10,1,10,2,9,4,7,2,25,43,22,36,9,9,6,7,csc
ciit/fa14-bcs-1796/isb,csc312,10,3,10,1,4,8,3,2,2,22,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1796/isb,csc321,9,6,0,2,2,4,9,0,10,12,20,31,1,8,10,6,csc
ciit/fa14-bcs-1796/isb,csc350,3,6,8,5,2,2,4,4,12,42,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1796/isb,csc354,5,0,10,7,2,8,7,2,16,19,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1796/isb,csc475,9,4,6,3,3,1,8,10,25,38,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1813/isb,csc303,7,6,4,4,10,7,0,2,3,14,16,26,0,8,10,9,csc
ciit/fa14-bcs-1813/isb,csc312,5,3,5,2,5,10,8,9,6,50,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1813/isb,csc321,10,9,0,2,6,6,9,9,14,31,25,26,8,5,8,8,csc
ciit/fa14-bcs-1813/isb,csc350,10,7,3,10,2,6,4,9,6,43,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1813/isb,csc354,3,7,5,7,0,8,10,8,24,37,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1813/isb,csc475,10,8,7,10,6,0,10,3,22,50,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1821/isb,csc303,2,4,7,0,2,4,0,9,15,34,25,49,0,4,2,9,csc
ciit/fa14-bcs-1821/isb,csc312,0,5,7,2,10,4,7,5,19,32,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1821/isb,csc321,1,3,4,9,6,6,3,9,18,22,16,43,2,7,8,3,csc
ciit/fa14-bcs-1821/isb,csc350,8,3,3,3,9,3,0,8,25,16,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1821/isb,csc354,2,2,2,7,3,1,3,6,12,46,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1821/isb,csc475,7,5,4,3,5,7,8,10,21,12,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1860/isb,csc303,4,9,5,7,1,9,0,8,3,30,20,43,10,3,10,0,csc
ciit/fa14-bcs-1860/isb,csc312,9,9,9,8,10,1,4,6,19,25,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1860/isb,csc321,9,3,5,5,8,6,6,0,12,49,18,39,1,4,3,7,csc
ciit/fa14-bcs-1860/isb,csc350,1,0,7,9,8,0,8,4,3,43,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1860/isb,csc354,6,0,8,2,7,8,5,8,3,28,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1860/isb,csc475,6,1,6,9,10,9,8,6,14,13,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1953/isb,csc303,0,9,10,8,4,1,2,6,11,39,16,32,5,1,7,6,csc
ciit/fa14-bcs-1953/isb,csc312,0,3,1,1,8,7,0,1,25,19,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1953/isb,csc321,0,9,2,3,4,4,2,7,12,26,15,32,0,9,2,4,csc
ciit/fa14-bcs-1953/isb,csc350,4,0,1,1,0,7,5,10,9,16,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1953/isb,csc354,7,10,8,0,8,4,0,4,22,35,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1953/isb,csc475,1,9,1,6,4,5,7,8,0,41,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1975/isb,csc303,3,5,0,1,7,1,0,9,25,35,20,32,6,6,9,3,csc
ciit/fa14-bcs-1975/isb,csc312,0,7,6,9,3,3,6,9,2,23,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1975/isb,csc321,7,8,7,4,1,1,9,9,5,17,23,44,9,0,6,6,csc
ciit/fa14-bcs-1975/isb,csc350,5,8,2,6,8,3,10,5,16,39,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1975/isb,csc354,4,1,6,2,1,4,3,6,2,16,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1975/isb,csc475,6,6,1,2,9,9,5,1,20,14,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1983/isb,csc303,2,7,2,8,1,9,7,7,13,22,20,46,7,2,7,1,csc
ciit/fa14-bcs-1983/isb,csc312,0,7,1,5,9,6,3,1,8,39,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1983/isb,csc321,4,5,8,2,8,8,6,9,16,14,25,32,5,9,5,3,csc
ciit/fa14-bcs-1983/isb,csc350,7,9,9,3,10,9,3,0,20,36,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1983/isb,csc354,9,1,8,3,1,5,0,8,23,24,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1983/isb,csc475,5,2,5,9,9,3,9,6,24,17,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1994/isb,csc303,5,6,7,4,3,4,0,8,13,34,25,49,0,7,1,4,csc
ciit/fa14-bcs-1994/isb,csc312,4,4,6,9,6,7,1,5,8,42,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1994/isb,csc321,5,3,5,9,8,1,0,2,24,40,20,41,7,3,2,1,csc
ciit/fa14-bcs-1994/isb,csc350,0,4,6,10,2,10,2,7,8,13,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1994/isb,csc354,5,8,9,6,9,10,6,8,19,29,NULL,NULL,NULL,NULL,NULL,NULL,csc
ciit/fa14-bcs-1994/isb,csc475,8,4,8,4,7,8,9,6,18,42,NULL,NULL,NULL,NULL,NULL,NULL,csc
