Registration_number,Course_no,Quiz1,Quiz2,Quiz3,Quiz4,Assignment1,Assignment2,Assignment3,Assignment4,MidTerm,FinalTerm,LabMidTerm,LabFinalTerm,LabAssignment1,LabAssignment2,LabTask1,LabTask2,Course_cat,Course_GPA
ciit/fa14-bse-1051/isb,bio231,10,9,10,7,4,7,1,6,15,46,NULL,NULL,NULL,NULL,NULL,NULL,bio,2.81
ciit/fa14-bse-1109/isb,bio231,2,9,1,7,7,10,1,1,22,30,NULL,NULL,NULL,NULL,NULL,NULL,bio,3.08
ciit/fa14-bse-1110/isb,bio231,4,6,8,8,2,8,8,4,17,36,NULL,NULL,NULL,NULL,NULL,NULL,bio,3.24
ciit/fa14-bse-116/isb,bio231,3,4,1,8,9,3,5,8,22,39,NULL,NULL,NULL,NULL,NULL,NULL,bio,2.7
ciit/fa14-bse-1173/isb,bio231,9,8,3,9,8,7,6,6,17,46,NULL,NULL,NULL,NULL,NULL,NULL,bio,2.84
ciit/fa14-bse-1194/isb,bio231,5,8,4,8,5,1,5,1,24,38,NULL,NULL,NULL,NULL,NULL,NULL,bio,2.28
ciit/fa14-bse-1202/isb,bio231,4,1,8,10,4,8,10,6,15,26,NULL,NULL,NULL,NULL,NULL,NULL,bio,2.58
ciit/fa14-bse-1204/isb,bio231,7,9,6,2,1,7,4,8,15,38,NULL,NULL,NULL,NULL,NULL,NULL,bio,3.16
ciit/fa14-bse-1267/isb,bio231,8,8,4,7,10,2,4,3,23,46,NULL,NULL,NULL,NULL,NULL,NULL,bio,2.77
ciit/fa14-bse-1306/isb,bio231,2,1,4,2,4,6,2,2,21,32,NULL,NULL,NULL,NULL,NULL,NULL,bio,3.25
ciit/fa14-bse-1307/isb,bio231,10,8,4,4,5,4,7,7,23,37,NULL,NULL,NULL,NULL,NULL,NULL,bio,2.42
ciit/fa14-bse-1313/isb,bio231,8,5,8,5,9,3,1,7,23,26,NULL,NULL,NULL,NULL,NULL,NULL,bio,2.4
ciit/fa14-bse-1345/isb,bio231,8,7,8,5,1,2,6,1,17,33,NULL,NULL,NULL,NULL,NULL,NULL,bio,2.85
ciit/fa14-bse-1403/isb,bio231,5,9,4,6,8,2,10,6,21,30,NULL,NULL,NULL,NULL,NULL,NULL,bio,3.19
ciit/fa14-bse-1456/isb,bio231,7,7,10,7,3,10,3,8,18,42,NULL,NULL,NULL,NULL,NULL,NULL,bio,2.45
ciit/fa14-bse-1472/isb,bio231,1,10,1,4,2,3,8,5,23,42,NULL,NULL,NULL,NULL,NULL,NULL,bio,2.58
ciit/fa14-bse-1513/isb,bio231,4,2,5,6,9,1,9,8,17,46,NULL,NULL,NULL,NULL,NULL,NULL,bio,3.16
ciit/fa14-bse-1545/isb,bio231,1,10,4,1,2,3,3,7,23,27,NULL,NULL,NULL,NULL,NULL,NULL,bio,2.61
ciit/fa14-bse-1564/isb,bio231,7,6,10,3,4,7,5,9,18,28,NULL,NULL,NULL,NULL,NULL,NULL,bio,2.75
ciit/fa14-bse-1630/isb,bio231,9,4,10,9,10,5,1,6,15,31,NULL,NULL,NULL,NULL,NULL,NULL,bio,2.81
ciit/fa14-bse-1650/isb,bio231,8,6,2,10,7,4,2,1,23,39,NULL,NULL,NULL,NULL,NULL,NULL,bio,2.32
ciit/fa14-bse-1657/isb,bio231,4,9,6,9,8,3,10,2,24,44,NULL,NULL,NULL,NULL,NULL,NULL,bio,2.73
ciit/fa14-bse-1659/isb,bio231,2,10,10,6,1,5,9,2,15,31,NULL,NULL,NULL,NULL,NULL,NULL,bio,2.52
ciit/fa14-bse-1674/isb,bio231,8,9,10,6,10,3,5,10,25,35,NULL,NULL,NULL,NULL,NULL,NULL,bio,3.1
ciit/fa14-bse-1720/isb,bio231,8,9,7,9,2,4,6,7,18,47,NULL,NULL,NULL,NULL,NULL,NULL,bio,2.81
ciit/fa14-bse-1781/isb,bio231,2,3,1,5,9,8,6,5,17,29,NULL,NULL,NULL,NULL,NULL,NULL,bio,3.29
ciit/fa14-bse-1822/isb,bio231,10,9,6,6,9,3,9,2,18,29,NULL,NULL,NULL,NULL,NULL,NULL,bio,2.48
ciit/fa14-bse-1825/isb,bio231,7,2,3,3,9,3,6,8,22,47,NULL,NULL,NULL,NULL,NULL,NULL,bio,2.85
ciit/fa14-bse-1847/isb,bio231,7,3,8,3,2,5,10,2,18,44,NULL,NULL,NULL,NULL,NULL,NULL,bio,3.39
ciit/fa14-bse-1878/isb,bio231,1,9,10,1,3,7,9,4,17,31,NULL,NULL,NULL,NULL,NULL,NULL,bio,2.85
ciit/fa14-bse-1886/isb,bio231,4,2,8,4,5,6,6,8,22,34,NULL,NULL,NULL,NULL,NULL,NULL,bio,2.25
ciit/fa14-bse-1945/isb,bio231,6,2,8,9,3,6,10,9,17,37,NULL,NULL,NULL,NULL,NULL,NULL,bio,2.56
ciit/fa14-bse-1952/isb,bio231,6,4,9,4,6,9,6,5,22,25,NULL,NULL,NULL,NULL,NULL,NULL,bio,2.5
ciit/fa14-bse-2008/isb,bio231,5,2,3,7,8,6,9,7,23,34,NULL,NULL,NULL,NULL,NULL,NULL,bio,2.56
ciit/fa14-bse-201/isb,bio231,8,5,6,2,6,8,8,8,25,34,NULL,NULL,NULL,NULL,NULL,NULL,bio,2.69
ciit/fa14-bse-2041/isb,bio231,8,2,9,6,3,9,8,9,24,44,NULL,NULL,NULL,NULL,NULL,NULL,bio,3.08
ciit/fa14-bse-2052/isb,bio231,10,3,3,5,5,9,3,6,25,45,NULL,NULL,NULL,NULL,NULL,NULL,bio,3.08
ciit/fa14-bse-2082/isb,bio231,8,3,10,10,9,8,6,3,18,40,NULL,NULL,NULL,NULL,NULL,NULL,bio,2.9
ciit/fa14-bse-2104/isb,bio231,9,9,7,5,3,4,9,7,16,48,NULL,NULL,NULL,NULL,NULL,NULL,bio,2.21
ciit/fa14-bse-2117/isb,bio231,7,7,8,1,4,8,9,10,17,36,NULL,NULL,NULL,NULL,NULL,NULL,bio,2.6
ciit/fa14-bse-2125/isb,bio231,1,10,6,6,2,4,9,1,16,35,NULL,NULL,NULL,NULL,NULL,NULL,bio,2.69
ciit/fa14-bse-2133/isb,bio231,3,7,9,7,2,7,2,7,18,28,NULL,NULL,NULL,NULL,NULL,NULL,bio,2.67
ciit/fa14-bse-2137/isb,bio231,6,2,8,5,2,8,1,4,24,44,NULL,NULL,NULL,NULL,NULL,NULL,bio,2.92
ciit/fa14-bse-2180/isb,bio231,5,4,1,8,2,9,8,10,20,43,NULL,NULL,NULL,NULL,NULL,NULL,bio,2.5
ciit/fa14-bse-219/isb,bio231,6,7,10,3,8,6,2,2,18,46,NULL,NULL,NULL,NULL,NULL,NULL,bio,2.78
ciit/fa14-bse-2191/isb,bio231,6,10,1,10,6,9,7,10,25,48,NULL,NULL,NULL,NULL,NULL,NULL,bio,2.77
ciit/fa14-bse-2206/isb,bio231,6,1,1,9,9,7,2,7,15,44,NULL,NULL,NULL,NULL,NULL,NULL,bio,2.6
ciit/fa14-bse-2226/isb,bio231,10,6,9,10,1,7,5,3,20,43,NULL,NULL,NULL,NULL,NULL,NULL,bio,2.35
ciit/fa14-bse-2231/isb,bio231,5,9,6,6,9,7,1,3,16,31,NULL,NULL,NULL,NULL,NULL,NULL,bio,2.69
